src_table,src_col,dst_table,dst_col
dataset_1.csv,DEWP,dataset_2-Beijing.csv,DEWP
dataset_1.csv,DEWP,dataset_2-Chengdu.csv,DEWP
dataset_1.csv,DEWP,dataset_2-Guangzhou.csv,DEWP
dataset_1.csv,DEWP,dataset_2-Shanghai.csv,DEWP
dataset_1.csv,DEWP,dataset_2-Shenyang.csv,DEWP
dataset_1.csv,DEWP,dataset_4.csv,DEWP
dataset_1.csv,Ir,dataset_2-Beijing.csv,precipitation
dataset_1.csv,Ir,dataset_2-Chengdu.csv,precipitation
dataset_1.csv,Ir,dataset_2-Guangzhou.csv,precipitation
dataset_1.csv,Ir,dataset_2-Shanghai.csv,precipitation
dataset_1.csv,Ir,dataset_2-Shenyang.csv,precipitation
dataset_1.csv,Ir,dataset_4.csv,precipitation
dataset_1.csv,Iws,dataset_2-Beijing.csv,Iws
dataset_1.csv,Iws,dataset_2-Chengdu.csv,Iws
dataset_1.csv,Iws,dataset_2-Guangzhou.csv,Iws
dataset_1.csv,Iws,dataset_2-Shanghai.csv,Iws
dataset_1.csv,Iws,dataset_2-Shenyang.csv,Iws
dataset_1.csv,Iws,dataset_4.csv,Iws
dataset_1.csv,No,dataset_2-Beijing.csv,No
dataset_1.csv,No,dataset_2-Chengdu.csv,No
dataset_1.csv,No,dataset_2-Guangzhou.csv,No
dataset_1.csv,No,dataset_2-Shanghai.csv,No
dataset_1.csv,No,dataset_2-Shenyang.csv,No
dataset_1.csv,No,dataset_4.csv,No
dataset_1.csv,PRES,dataset_2-Beijing.csv,PRES
dataset_1.csv,PRES,dataset_2-Chengdu.csv,PRES
dataset_1.csv,PRES,dataset_2-Guangzhou.csv,PRES
dataset_1.csv,PRES,dataset_2-Shanghai.csv,PRES
dataset_1.csv,PRES,dataset_2-Shenyang.csv,PRES
dataset_1.csv,PRES,dataset_4.csv,PRES
dataset_1.csv,TEMP,dataset_2-Beijing.csv,TEMP
dataset_1.csv,TEMP,dataset_2-Chengdu.csv,TEMP
dataset_1.csv,TEMP,dataset_2-Guangzhou.csv,TEMP
dataset_1.csv,TEMP,dataset_2-Shanghai.csv,TEMP
dataset_1.csv,TEMP,dataset_2-Shenyang.csv,TEMP
dataset_1.csv,TEMP,dataset_3.csv,T
dataset_1.csv,TEMP,dataset_4.csv,TEMP
