tid,table_name,column_name,sample_values
82,dataset_2-Shenyang.csv,No,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
83,dataset_2-Shenyang.csv,year,2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010
84,dataset_2-Shenyang.csv,month,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
85,dataset_2-Shenyang.csv,day,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
86,dataset_2-Shenyang.csv,hour,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
87,dataset_2-Shenyang.csv,season,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
88,dataset_2-Shenyang.csv,PM_Taiyuanjie,145.0 150.0 142.0 105.0 154.0 176.0 140.0 93.0 53.0 23.0 29.0 13.0 8.0 9.0 14.0 24.0 34.0 37.0 25.0 18.0
89,dataset_2-Shenyang.csv,PM_US Post,113.0 74.0 59.0 69.0 78.0 101.0 96.0 100.0 106.0 131.0 103.0 101.0 125.0 154.0 162.0 163.0 128.0 138.0 150.0 148.0
90,dataset_2-Shenyang.csv,PM_Xiaoheyan,148.0 133.0 121.0 110.0 107.0 123.0 111.0 76.0 56.0 29.0 20.0 7.0 6.0 8.0 9.0 14.0 24.0 20.0 17.0 25.0
91,dataset_2-Shenyang.csv,DEWP,-26.0 -26.0 -27.0 -27.0 -27.0 -26.0 -25.0 -24.0 -23.0 -22.0 -20.0 -18.0 -17.0 -16.0 -15.0 -15.0 -15.0 -15.0 -16.0 -17.0
92,dataset_2-Shenyang.csv,HUMI,69.79 76.26 69.56 69.56 69.56 76.26 76.46 70.26 70.49 70.71 77.39 77.75 77.92 78.1 84.87 78.27 78.27 78.27 78.1 77.92
93,dataset_2-Shenyang.csv,PRES,1024.0 1024.0 1023.0 1023.0 1022.0 1022.0 1021.0 1021.0 1021.0 1021.0 1022.0 1021.0 1020.0 1019.0 1019.0 1019.0 1019.0 1020.0 1020.0 1021.0
94,dataset_2-Shenyang.csv,TEMP,-22.0 -23.0 -23.0 -23.0 -23.0 -23.0 -22.0 -20.0 -19.0 -18.0 -17.0 -15.0 -14.0 -13.0 -13.0 -12.0 -12.0 -12.0 -13.0 -14.0
95,dataset_2-Shenyang.csv,cbwd,NE NE NE NE NE NE NE NE NE NE NE NE NE NE NE NE NE NE NE NE
96,dataset_2-Shenyang.csv,Iws,1.0289 2.5722 5.1444 7.7166 9.7744 11.8322 14.4044 16.9766 19.0344 21.6066 24.1788 27.2655 29.8377 32.9244 35.4966 38.5833 41.1555 43.2133 45.7855 48.3577
97,dataset_2-Shenyang.csv,precipitation,0.0 0.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
98,dataset_2-Shenyang.csv,Iprec,0.0 0.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
